epoch,accuracy,loss,precision,precision_1,recall,recall_1,val_accuracy,val_loss,val_precision,val_precision_1,val_recall,val_recall_1
1,0.9613412022590637,0.12381406873464584,0.9765557050704956,0.9979965686798096,0.9649649858474731,0.9972829818725586,0.9915742874145508,0.04073633998632431,0.9959758520126343,1.0,0.9913217425346375,1.0
2,0.9935410618782043,0.0317949540913105,0.9975571036338806,0.9998569488525391,0.9927070140838623,0.9995710253715515,0.995121955871582,0.02009439654648304,0.9953364133834839,1.0,0.9973297715187073,0.9993324279785156
3,0.9959156513214111,0.019603928551077843,0.9984222650527954,1.0,0.9954239726066589,0.9998570084571838,0.9964523315429688,0.014792617410421371,0.9986613392829895,1.0,0.9959946870803833,0.9993324279785156
4,0.9974353909492493,0.01333621796220541,0.998997151851654,1.0,0.9971399903297424,1.0,0.9982261657714844,0.010235114954411983,0.998664915561676,1.0,0.998664915561676,1.0
5,0.9974353909492493,0.01124715805053711,0.9995697140693665,,0.9965680241584778,,0.9995565414428711,0.007480263710021973,1.0,,0.9993324279785156,
6,0.9983852505683899,0.008434463292360306,0.9995703101158142,,0.9979979991912842,,0.9995565414428711,0.005144824739545584,1.0,,0.9993324279785156,
7,0.9991451501846313,0.006589519791305065,0.9998568296432495,,0.9988560080528259,,0.9995565414428711,0.004667569417506456,1.0,,0.9993324279785156,
8,0.9991451501846313,0.005952261853963137,0.999285101890564,,0.9994279742240906,,0.9991130828857422,0.005101228132843971,1.0,,0.998664915561676,
9,0.9968655109405518,0.011297113262116909,,,,,1.0,0.0004729359643533826,,,,
10,0.9996200799942017,0.0010898804757744074,,,,,0.9995565414428711,0.001304487930610776,,,,
11,0.999904990196228,0.0004753677931148559,,,,,0.9995565414428711,0.0006267834105528891,,,,
12,1.0,0.0002550026692915708,,,,,1.0,6.51461086818017e-05,,,,
